Month,Orchard Age,Block,Management,Seed Mix,Host Plant,Morphospecies,Count,Notes
may,60,3,flailscrape,perennial,geum,beetle,2,
may,60,3,flail,perennial,geum,big black bee,1,
may,60,3,flail,perennial,geum,small black bee,1,
may,60,3,flail,perennial,geum,syrphid,1,
may,60,3,flail,perennial,geum,other fly,1,
may,60,3,unmanaged,perennial,geum,other fly,2,
may,60,3,unmanaged,megamix,geum,small black bee,1,
may,60,3,unmanaged,megamix,geum,green bee,1,
may,60,3,unmanaged,megamix,geum,beetle,1,
may,60,4,flailscrape,perennial,geum,small black bee,2,
may,60,4,flailscrape,perennial,geum,syrphid,1,
may,60,4,flailscrape,perennial,geum,beetle,1,
may,60,4,flail,perennial,geum,syrphid,2,
may,60,4,flail,perennial,geum,beetle,1,
may,60,4,unmanaged,perennial,geum,small black bee,14,
may,60,4,unmanaged,perennial,geum,syrphid,3,
may,60,4,unmanaged,megamix,geum,big black bee,2,bee = Osmia
may,60,4,unmanaged,megamix,geum,small black bee,5,
may,60,4,unmanaged,megamix,geum,green bee,2,bee = Agapostemon
may,60,4,unmanaged,control,geum,other fly,2,
may,60,5,flailscrape,perennial,geum,big black bee,1,
may,60,5,flailscrape,perennial,geum,small black bee,5,
may,60,5,flail,perennial,geum,small black bee,3,
may,60,5,flail,perennial,geum,other fly,1,
may,60,5,unmanaged,perennial,geum,small black bee,3,
may,60,6,flailscrape,perennial,geum,small black bee,9,
may,60,6,flailscrape,perennial,geum,other fly,1,
may,60,6,unmanaged,megamix,geum,other fly,3,fly = gnats?
june,60,1,flailscrape,perennial,prunella,small black bee,2,
june,60,1,flailscrape,perennial,prunella,syrphid,4,
june,60,1,flailscrape,perennial,prunella,other fly,1,
june,60,1,flail,annual,epilobium,small black bee,1,
june,60,1,flail,annual,gilia,small black bee,2,
june,60,1,flail,annual,weed,small black bee,1,
june,60,1,flail,industry,clover,beetle,1,
june,60,1,unmanaged,annual,amsinckia,small black bee,1,
june,60,1,unmanaged,annual,weed,beetle,1,
june,60,1,unmanaged,perennial,achillea,small black bee,1,
june,60,1,unmanaged,perennial,achillea,beetle,1,
june,60,1,unmanaged,perennial,geum,small black bee,2,
june,60,2,flailscrape,annual,weed,small black bee,2,
june,60,2,flailscrape,perennial,achillea,small black bee,4,
june,60,2,flailscrape,perennial,achillea,true bug,1,
june,60,2,flail,annual,weed,big black bee,4,
june,60,2,flail,annual,weed,small black bee,2,
june,60,2,flail,annual,weed,syrphid,1,
june,60,2,flail,annual,weed,beetle,2,
june,60,2,flail,perennial,eriophyllum,small black bee,1,
june,60,2,unmanaged,annual,clarkia,big black bee,5,
june,60,2,unmanaged,annual,clarkia,small black bee,5,
june,60,2,unmanaged,annual,clarkia,honeybee,8,
june,60,2,unmanaged,annual,clarkia,syrphid,2,
june,60,2,unmanaged,annual,clarkia,other fly,1,
june,60,2,unmanaged,annual,clarkia,beetle,1,
june,60,2,unmanaged,perennial,achillea,big black bee,4,
june,60,2,unmanaged,perennial,achillea,small black bee,6,
june,60,2,unmanaged,perennial,achillea,true bug,1,
june,60,2,unmanaged,perennial,achillea,beetle,2,
june,60,3,flailscrape,perennial,achillea,small black bee,2,
june,60,4,flailscrape,annual,epilobium,small black bee,4,
june,60,4,flailscrape,annual,weed,small black bee,2,
june,60,4,flailscrape,annual,weed,syrphid,3,
june,60,4,flailscrape,perennial,prunella,big black bee,1,
june,60,4,flailscrape,perennial,geum,big black bee,3,
june,60,4,flail,annual,gilia,honeybee,2,
june,60,4,flail,annual,weed,big black bee,1,
june,60,4,flail,annual,weed,small black bee,6,
june,60,4,flail,annual,weed,other fly,3,
june,60,4,unmanaged,annual,weed,small black bee,5,
june,60,4,unmanaged,annual,weed,honeybee,3,
june,60,4,unmanaged,perennial,geum,small black bee,2,
june,60,5,flailscrape,annual,gilia,small black bee,1,
june,60,5,flailscrape,annual,weed,small black bee,1,
june,60,5,flail,annual,epilobium,small black bee,1,
june,60,5,flail,annual,gilia,small black bee,1,
june,60,5,flail,perennial,achillea,small black bee,1,
june,60,5,flail,perennial,prunella,small black bee,5,
june,60,5,flail,perennial,geum,small black bee,1,
june,60,5,unmanaged,annual,collomia,small black bee,1,
june,60,5,unmanaged,perennial,geum,small black bee,1,
june,60,6,flailscrape,annual,epilobium,small black bee,1,
june,60,6,flailscrape,annual,weed,small black bee,1,
june,60,6,flailscrape,perennial,achillea,small black bee,1,
june,60,6,flail,annual,weed,small black bee,7,
june,15,1,flailscrape,annual,epilobium,syrphid,1,
june,15,1,flailscrape,annual,gilia,honeybee,2,
june,15,1,flailscrape,annual,weed,syrphid,1,
june,15,1,flailscrape,perennial,achillea,big black bee,3,
june,15,1,flailscrape,perennial,achillea,honeybee,15,
june,15,1,flailscrape,perennial,achillea,small black bee,15,
june,15,1,flailscrape,perennial,achillea,syrphid,12,
june,15,1,flailscrape,perennial,achillea,other fly,1,
june,15,1,flailscrape,perennial,achillea,beetle,1,
june,15,1,flailscrape,industry,clover,small black bee,1,
june,15,1,flailscrape,industry,clover,honeybee,1,
june,15,1,flailscrape,industry,clover,syrphid,3,
june,15,1,flailscrape,industry,achillea,small black bee,1,
june,15,1,flailscrape,industry,achillea,syrphid,2,
june,15,1,flailscrape,industry,achillea,other fly,4,
june,15,1,flailscrape,industry,achillea,beetle,1,
june,15,1,flail,annual,gilia,syrphid,1,
june,15,1,flail,annual,weed,syrphid,3,
june,15,1,flail,perennial,achillea,small black bee,3,
june,15,1,flail,perennial,achillea,beetle,1,
june,15,1,flail,perennial,achillea,syrphid,3,
june,15,1,flail,perennial,achillea,butterfly,1,
june,15,1,flail,perennial,prunella,small black bee,2,
june,15,1,flail,perennial,prunella,syrphid,2,
june,15,1,flail,perennial,prunella,butterfly,5,
june,15,1,flail,perennial,eriophyllum,syrphid,1,
june,15,1,flail,perennial,clover,syrphid,1,
june,15,1,flail,industry,clover,honeybee,4,
june,15,1,flail,industry,clover,syrphid,2,
june,15,1,flail,industry,clover,other fly,1,
june,15,1,flail,industry,prunella,bumblebee,3,
june,15,1,flail,industry,weed,syrphid,9,
june,15,1,flail,control,achillea,small black bee,1,
june,15,1,flail,control,eriophyllum,small black bee,1,
june,15,1,flail,control,achillea,other bee,3,
june,15,1,flail,control,eriophyllum,other bee,2,
june,15,1,flail,control,eriophyllum,other fly,1,
june,15,1,unmanaged,annual,clarkia,bumblebee,1,
june,15,1,unmanaged,annual,gilia,small black bee,1,
june,15,1,unmanaged,annual,prunella,bumblebee,9,
june,15,1,unmanaged,annual,achillea,small black bee,1,
june,15,1,unmanaged,annual,achillea,syrphid,1,
june,15,1,unmanaged,annual,weed,other fly,2,
june,15,1,unmanaged,annual,achillea,other fly,1,
june,15,1,unmanaged,perennial,achillea,small black bee,1,
june,15,1,unmanaged,perennial,achillea,honeybee,8,
june,15,1,unmanaged,perennial,achillea,other fly,5,
june,15,1,unmanaged,perennial,achillea,beetle,1,
june,15,1,unmanaged,perennial,achillea,syrphid,9,
june,15,1,unmanaged,control,eriophyllum,bumblebee,3,
june,15,1,unmanaged,control,prunella,bumblebee,8,
june,15,1,unmanaged,control,eriophyllum,honeybee,1,
june,15,1,unmanaged,control,achillea,honeybee,1,
june,15,1,unmanaged,control,achillea,syrphid,3,
june,15,1,unmanaged,control,eriophyllum,syrphid,1,
june,15,1,unmanaged,control,eriophyllum,other fly,1,
june,15,1,unmanaged,control,achillea,other fly,1,
june,15,1,unmanaged,megamix,epilobium,bumblebee,1,
june,15,1,unmanaged,megamix,achillea,syrphid,10,
june,15,1,unmanaged,megamix,achillea,other fly,1,
june,15,1,unmanaged,megamix,achillea,beetle,1,
june,15,2,flailscrape,annual,gilia,big black bee,2,
june,15,2,flailscrape,annual,gilia,small black bee,1,
june,15,2,flailscrape,annual,weed,bumblebee,1,
june,15,2,flailscrape,annual,weed,small black bee,3,
june,15,2,flailscrape,annual,weed,syrphid,1,
june,15,2,flailscrape,perennial,achillea,big black bee,5,
june,15,2,flailscrape,perennial,achillea,small black bee,29,
june,15,2,flailscrape,perennial,achillea,honeybee,24,
june,15,2,flailscrape,perennial,achillea,true bug,1,
june,15,2,flailscrape,perennial,achillea,syrphid,4,
june,15,2,flailscrape,perennial,achillea,other fly,3,
june,15,2,flailscrape,perennial,achillea,wasp,1,
june,15,2,flailscrape,perennial,eriophyllum,honeybee,2,
june,15,2,flailscrape,industry,clover,small black bee,1,
june,15,2,flailscrape,industry,clover,honeybee,21,
june,15,2,flailscrape,industry,clover,syrphid,2,
june,15,2,flail,annual,collomia,syrphid,1,
june,15,2,flail,annual,epilobium,small black bee,1,
june,15,2,flail,annual,epilobium,syrphid,3,
june,15,2,flail,annual,gilia,small black bee,1,
june,15,2,flail,annual,gilia,syrphid,1,
june,15,2,flail,annual,weed,small black bee,1,
june,15,2,flail,annual,weed,syrphid,2,
june,15,2,flail,perennial,achillea,small black bee,11,
june,15,2,flail,perennial,achillea,honeybee,22,
june,15,2,flail,perennial,achillea,syrphid,5,
june,15,2,flail,perennial,achillea,other fly,2,
june,15,2,flail,perennial,prunella,bumblebee,4,
june,15,2,flail,perennial,prunella,small black bee,2,
june,15,2,flail,perennial,prunella,syrphid,1,
june,15,2,flail,perennial,eriophyllum,honeybee,3,
june,15,2,flail,perennial,eriophyllum,syrphid,1,
june,15,2,flail,perennial,eriophyllum,other fly,7,
june,15,2,flail,industry,clover,honeybee,26,
june,15,2,flail,industry,clover,other fly,1,
june,15,2,flail,industry,barley,other bee,1,
june,15,2,unmanaged,annual,amsinckia,beetle,1,
june,15,2,unmanaged,annual,epilobium,small black bee,1,
june,15,2,unmanaged,annual,epilobium,other bee,1,
june,15,2,unmanaged,annual,epilobium,syrphid,1,
june,15,2,unmanaged,annual,gilia,small black bee,2,
june,15,2,unmanaged,annual,gilia,honeybee,6,
june,15,2,unmanaged,annual,weed,syrphid,1,
june,15,2,unmanaged,perennial,achillea,big black bee,4,
june,15,2,unmanaged,perennial,achillea,small black bee,27,
june,15,2,unmanaged,perennial,achillea,honeybee,41,
june,15,2,unmanaged,perennial,achillea,syrphid,10,
june,15,2,unmanaged,perennial,achillea,other fly,19,
june,15,2,unmanaged,perennial,potentilla,syrphid,1,
june,15,3,flailscrape,annual,gilia,small black bee,1,
june,15,3,flailscrape,perennial,achillea,big black bee,4,
june,15,3,flailscrape,perennial,achillea,small black bee,22,
june,15,3,flailscrape,perennial,achillea,honeybee,6,
june,15,3,flailscrape,perennial,achillea,syrphid,1,
june,15,3,flailscrape,perennial,achillea,other fly,5,
june,15,3,flailscrape,perennial,achillea,true bug,1,
june,15,3,flailscrape,perennial,prunella,bumblebee,3,
june,15,3,flailscrape,perennial,prunella,small black bee,4,
june,15,3,flailscrape,perennial,eriophyllum,small black bee,1,
june,15,3,flailscrape,industry,clover,small black bee,1,
june,15,3,flailscrape,industry,clover,honeybee,16,
june,15,3,flail,annual,amsinckia,big black bee,1,
june,15,3,flail,annual,amsinckia,syrphid,2,
june,15,3,flail,annual,amsinckia,true bug,1,
june,15,3,flail,perennial,achillea,big black bee,1,
june,15,3,flail,perennial,achillea,small black bee,47,
june,15,3,flail,perennial,achillea,honeybee,4,
june,15,3,flail,perennial,achillea,wasp,1,
june,15,3,flail,perennial,achillea,syrphid,1,
june,15,3,flail,perennial,achillea,other fly,9,
june,15,3,flail,perennial,achillea,beetle,1,
june,15,3,flail,perennial,prunella,big black bee,2,
june,15,3,flail,perennial,prunella,small black bee,2,
june,15,3,flail,perennial,prunella,other fly,1,
june,15,3,flail,perennial,eriophyllum,small black bee,3,
june,15,3,flail,industry,clover,small black bee,1,
june,15,3,flail,industry,clover,honeybee,2,
june,15,3,unmanaged,annual,amsinckia,beetle,1,
june,15,3,unmanaged,annual,clarkia,small black bee,2,
june,15,3,unmanaged,annual,epilobium,small black bee,3,
june,15,3,unmanaged,perennial,achillea,big black bee,8,
june,15,3,unmanaged,perennial,achillea,small black bee,18,
june,15,3,unmanaged,perennial,achillea,honeybee,4,
june,15,3,unmanaged,perennial,achillea,true bug,1,
june,15,3,unmanaged,perennial,achillea,syrphid,1,
june,15,3,unmanaged,perennial,achillea,other fly,16,
june,15,3,unmanaged,perennial,achillea,wasp,1,
june,15,3,unmanaged,perennial,prunella,small black bee,1,
june,15,3,unmanaged,perennial,eriophyllum,small black bee,8,
june,15,4,flailscrape,annual,weed,small black bee,2,
june,15,4,flailscrape,perennial,achillea,big black bee,1,
june,15,4,flailscrape,perennial,achillea,small black bee,10,
june,15,4,flailscrape,perennial,achillea,honeybee,3,
june,15,4,flailscrape,perennial,achillea,green bee,1,
june,15,4,flailscrape,perennial,achillea,syrphid,1,
june,15,4,flailscrape,perennial,prunella,big black bee,2,
june,15,4,flailscrape,perennial,prunella,small black bee,14,
june,15,4,flailscrape,perennial,prunella,honeybee,4,
june,15,4,flailscrape,perennial,prunella,green bee,1,
june,15,4,flailscrape,perennial,prunella,butterfly,9,
june,15,4,flailscrape,industry,clover,big black bee,2,
june,15,4,flail,annual,weed,small black bee,5,
june,15,4,flail,annual,weed,honeybee,1,
june,15,4,flail,annual,weed,syrphid,3,
june,15,4,flail,perennial,achillea,big black bee,4,
june,15,4,flail,perennial,achillea,small black bee,7,
june,15,4,flail,perennial,achillea,honeybee,2,
june,15,4,flail,perennial,achillea,syrphid,2,
june,15,4,flail,perennial,achillea,other fly,2,
june,15,4,flail,perennial,achillea,true bug,1,
june,15,4,flail,perennial,prunella,bumblebee,11,
june,15,4,flail,perennial,prunella,big black bee,1,
june,15,4,flail,perennial,prunella,small black bee,8,
june,15,4,flail,industry,clover,big black bee,1,
june,15,4,flail,industry,clover,small black bee,2,
june,15,4,flail,industry,clover,honeybee,5,
june,15,4,unmanaged,annual,weed,syrphid,1,
june,15,4,unmanaged,perennial,achillea,big black bee,1,
june,15,4,unmanaged,perennial,achillea,small black bee,11,
june,15,4,unmanaged,perennial,achillea,honeybee,2,
june,15,4,unmanaged,perennial,prunella,bumblebee,17,
june,15,4,unmanaged,perennial,prunella,big black bee,8,
june,15,4,unmanaged,perennial,prunella,small black bee,29,
june,15,4,unmanaged,perennial,prunella,syrphid,4,
june,15,4,unmanaged,perennial,eriophyllum,small black bee,4,
june,15,4,unmanaged,industry,clover,wasp,1,
june,15,5,flail,annual,gilia,small black bee,2,
june,15,5,flail,annual,weed,small black bee,9,
june,15,5,flail,perennial,achillea,bumblebee,1,
june,15,5,flail,perennial,achillea,big black bee,4,
june,15,5,flail,perennial,achillea,small black bee,29,
june,15,5,flail,perennial,achillea,syrphid,1,
june,15,5,flail,perennial,achillea,other fly,2,
june,15,5,flail,perennial,achillea,beetle,1,
june,15,5,flail,perennial,achillea,true bug,1,
june,15,5,flail,perennial,prunella,small black bee,1,
june,15,5,flail,control,weed,small black bee,1,
june,15,5,flailscrape,perennial,achillea,big black bee,2,
june,15,5,flailscrape,perennial,achillea,small black bee,21,
june,15,5,flailscrape,perennial,achillea,honeybee,2,
june,15,5,flailscrape,perennial,achillea,syrphid,1,
june,15,5,flailscrape,perennial,achillea,other fly,5,
june,15,5,flailscrape,perennial,achillea,beetle,1,
june,15,5,flailscrape,perennial,prunella,small black bee,8,
june,15,5,unmanaged,perennial,achillea,big black bee,1,
june,15,5,unmanaged,perennial,achillea,small black bee,1,
june,15,5,unmanaged,perennial,achillea,honeybee,1,
june,15,5,unmanaged,perennial,achillea,other fly,4,
june,15,5,unmanaged,perennial,prunella,small black bee,6,
june,15,5,unmanaged,perennial,prunella,syrphid,1,
june,15,5,unmanaged,perennial,eriophyllum,small black bee,1,
june,15,6,flailscrape,annual,epilobium,small black bee,4,
june,15,6,flailscrape,perennial,achillea,big black bee,3,
june,15,6,flailscrape,perennial,achillea,small black bee,19,
june,15,6,flailscrape,perennial,achillea,other fly,3,
june,15,6,flailscrape,perennial,prunella,bumblebee,6,
june,15,6,flailscrape,perennial,prunella,big black bee,2,
june,15,6,flailscrape,perennial,prunella,small black bee,11,
june,15,6,flailscrape,industry,clover,bumblebee,1,
june,15,6,flailscrape,industry,clover,small black bee,1,
june,15,6,flailscrape,industry,clover,syrphid,2,
june,15,6,flail,perennial,achillea,big black bee,1,
june,15,6,flail,perennial,achillea,small black bee,29,
june,15,6,flail,perennial,achillea,true bug,1,
june,15,6,flail,perennial,achillea,other bee,1,
june,15,6,flail,perennial,achillea,other fly,7,
june,15,6,flail,perennial,prunella,small black bee,1,
june,15,6,flail,perennial,weed,other fly,1,
june,15,6,flail,industry,clover,big black bee,3,
june,15,6,flail,industry,clover,honeybee,10,
june,15,6,unmanaged,perennial,achillea,small black bee,10,
june,15,6,unmanaged,perennial,achillea,other fly,3,
june,15,6,unmanaged,perennial,prunella,small black bee,3,
june,15,6,unmanaged,perennial,prunella,syrphid,1,
june,15,6,unmanaged,perennial,prunella,butterfly,2,
june,40,1,unmanaged,perennial,weed,syrphid,1,
june,40,3,flail,annual,gilia,syrphid,1,
june,40,3,unmanaged,annual,gilia,small black bee,1,
june,40,3,unmanaged,perennial,geum,syrphid,1,
june,40,3,unmanaged,perennial,geum,other fly,1,
june,40,4,flail,annual,gilia,syrphid,2,
june,40,5,unmanaged,perennial,prunella,small black bee,1,
june,40,5,unmanaged,perennial,eriophyllum,syrphid,1,
june,40,6,unmanaged,perennial,geum,small black bee,1,
july,60,1,unmanaged,annual,epilobium,small black bee,1,
july,60,5,unmanaged,perennial,geum,beetle,3,
july,60,5,unmanaged,perennial,geum,true bug,1,aphid
july,60,5,unmanaged,perennial,geum,lacewing,1,
july,60,5,unmanaged,perennial,geum,mosquito,1,
july,15,1,unmanaged,annual,clarkia,big black bee,1,
july,15,1,unmanaged,annual,epilobium,big black bee,2,
july,15,1,unmanaged,annual,epilobium,small black bee,4,
july,15,1,unmanaged,annual,weed,big black bee,1,
july,15,1,unmanaged,perennial,achillea,big black bee,1,
july,15,1,unmanaged,perennial,achillea,small black bee,4,
july,15,1,unmanaged,perennial,achillea,syrphid,1,
july,15,1,unmanaged,perennial,achillea,other fly,1,
july,15,1,unmanaged,perennial,achillea,true bug,1,
july,15,1,unmanaged,perennial,prunella,small black bee,1,
july,15,2,unmanaged,annual,clarkia,small black bee,4,
july,15,2,unmanaged,annual,epilobium,small black bee,4,
july,15,2,unmanaged,annual,weed,big black bee,1,
july,15,2,unmanaged,annual,weed,small black bee,3,
july,15,2,unmanaged,megamix,clarkia,small black bee,1,
july,15,2,unmanaged,perennial,achillea,small black bee,11,
july,15,2,unmanaged,megamix,achillea,small black bee,2,
july,15,2,unmanaged,megamix,achillea,syrphid,2,
july,15,3,unmanaged,annual,clarkia,small black bee,2,
july,15,3,unmanaged,annual,epilobium,small black bee,3,
july,15,3,unmanaged,annual,epilobium,other fly,1,
july,15,3,unmanaged,annual,epilobium,butterfly,1,moth
july,15,3,unmanaged,megamix,epilobium,small black bee,1,
july,15,3,unmanaged,perennial,achillea,small black bee,5,
july,15,3,unmanaged,megamix,achillea,small black bee,3,
july,15,3,unmanaged,megamix,achillea,true bug,2,
july,15,4,unmanaged,perennial,achillea,small black bee,2,
july,15,4,unmanaged,perennial,achillea,true bug,2,
july,15,4,unmanaged,perennial,prunella,small black bee,1,
july,15,4,unmanaged,perennial,prunella,big black bee,2,
july,15,4,unmanaged,perennial,prunella,true bug,1,
july,15,4,unmanaged,perennial,eriophyllum,small black bee,1,
july,15,4,unmanaged,megamix,achillea,big black bee,1,
july,15,4,unmanaged,megamix,achillea,true bug,6,
july,15,4,unmanaged,megamix,prunella,small black bee,1,
july,15,4,unmanaged,megamix,weed,small black bee,1,
july,15,5,unmanaged,perennial,achillea,big black bee,1,
july,15,5,unmanaged,perennial,achillea,true bug,6,
july,15,5,unmanaged,perennial,prunella,small black bee,1,
july,15,5,unmanaged,perennial,weed,small black bee,1,
july,15,6,unmanaged,perennial,achillea,small black bee,3,
july,15,6,unmanaged,perennial,achillea,syrphid,1,
july,15,6,unmanaged,perennial,achillea,butterfly,1,moth
july,15,6,unmanaged,perennial,achillea,true bug,7,
july,15,6,unmanaged,perennial,weed,other fly,1,
july,40,1,unmanaged,annual,gilia,small black bee,1,
july,40,3,unmanaged,annual,epilobium,big black bee,1,
july,40,3,unmanaged,perennial,achillea,big black bee,1,
july,40,3,unmanaged,perennial,geum,big black bee,1,
july,40,3,unmanaged,perennial,weed,small black bee,1,
july,40,4,unmanaged,perennial,achillea,big black bee,1,
july,40,4,unmanaged,perennial,achillea,syrphid,1,
july,60,1,unmanaged,annual,epilobium,small black bee,1,
july,60,2,unmanaged,annual,clarkia,small black bee,2,
july,60,2,unmanaged,perennial,achillea,beetle,1,
july,60,2,unmanaged,control,weed,honeybee,3,
july,60,2,unmanaged,megamix,achillea,butterfly,1,moth
july,60,2,unmanaged,megamix,achillea,true bug,2,
july,60,4,unmanaged,annual,weed,beetle,1,
july,60,4,unmanaged,perennial,achillea,beetle,1,
july,60,4,unmanaged,perennial,achillea,ant,3,
july,60,5,unmanaged,perennial,geum,beetle,3,
july,60,5,unmanaged,perennial,geum,aphid,1,
july,60,5,unmanaged,perennial,geum,lacewing,1,
july,60,5,unmanaged,perennial,geum,mosquito,1,
august,15,1,unmanaged,annual,clarkia,small black bee,3,
august,15,1,unmanaged,annual,epilobium,syrphid,2,
august,15,1,unmanaged,perennial,achillea,other fly,1,
august,15,1,unmanaged,perennial,achillea,true bug,1,
