orchard_age,block,management,seedmix,bare,weeds,amsinckia,plectritis,collomia,clarkia,epilobium,gilia,sanguisorba,lotus,achillea,geum,prunella,potentilla,eriophyllum,agoseris,viola,lomatium,barley,oats,vetch,clover,carex,festuca,danthonia,notes
15,2,scraped,annuals,2,90,35,2,25,,5,1,,,,,,,,,,,5,,,,,,,"ams 100-150, plec 0-10"
15,2,scraped,perennials,5,70,,,,,,,,,70,2,20,2,,,,20,,,,,,,,lom 100-150
15,2,scraped,industry,0,90,10,,1,,,,,,,,,,,,,,30,,,70,,,,ams 0-10
15,2,scraped,control,0,99,,,,,,,,,2,1,,,,,,,,,,,,,,
15,2,flailed,annuals,0,90,8,,20,,5,,,,5,,,,,,,,15,,,,,,,ams f 50-100
15,2,flailed,perennials,0,10,,,10,,5,,,,90,15,15,,15,,,15,,,,,,,,"geum 10-50, "
15,2,flailed,industry,0,75,1,,10,,5,,,,5,,,,,,,,10,20,,60,,,,ams f 0-10
15,2,flailed,control,0,99,,,1,3,2,,,,25,2,3,,,,,,,,,,,,,geum 0-10
15,2,unmanaged,annuals,0,15,20,3,35,55,15,,,,1,2,,,,,,,,,,,,,,"plec 10-50, ams 100-150"
15,2,unmanaged,perennials,0,10,10,,,,5,,,,95,15,40,1,30,,,10,,,,,,,,"geum 10-50, lom 10-50"
15,2,unmanaged,megamix,0,40,1,,2,25,20,,,,45,10,30,4,15,,,5,,,,,,15,,geum 10-50
15,2,unmanaged,control,0,70,10,2,,2,15,,,,40,,,1,10,,,,,,,,,,,"ams 10-50, plec 10-50"
15,2,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,flailed,annuals,2,95,5,1,,,3,,1,,,,,,,,,,15,,,,,,,"ams flowering 0-10, plec flowering 0-10"
15,1,flailed,perennials,0,20,5,,,,10,,,,85,15,25,5,30,,,15,,,,,,,,"lomatium flowering 10-50, geum flowering 0-10"
15,1,flailed,industry,1,95,5,,5,,2,,,,5,3,,,,,,,20,,,20,,,,clover flowering 1
15,1,flailed,control,1,85,,,,,5,,,,3,2,,,25,,,,,,,,,,,
15,1,scraped,annuals,5,70,10,5,5,15,30,,1,,15,,,,5,,,,,1,,,,,,"plectritis flowering 10-50, ams flowerin 10-50"
15,1,scraped,perennials,0,25,,,,,,,,,90,,15,,20,,,15,,,,,,,,lomatium flowering 0-10
15,1,scraped,industry,0,25,2,,,,,,,,15,,,,15,,,,,10,,40,,,,
15,1,scraped,control,0,95,,,,,,,,,15,,10,,,,,,,,,,,,,
15,1,unmanaged,annuals,1,45,15,2,3,5,40,1,3,,,1,,,,,,,,,,,,,,"ams flowering 50-100. plec 0-10, geum 0-10"
15,1,unmanaged,perennials,0,5,,,1,,,,,,80,25,20,3,50,,,10,,,,,,,,"lom 10-50, geum 0-50"
15,1,unmanaged,megamix,0,35,2,,15,5,35,,2,,25,20,5,1,20,,,5,3,,,,,,,geum f 0-10
15,1,unmanaged,control,3,60,,,1,2,20,,,,15,5,10,,10,,,3,,1,,,,,,
15,1,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,scraped,annuals,25,40,3,,4,,5,5,3,,,15,,2,,,,,,,,,,,,
40,6,scraped,perennials,30,40,,,,,,,,,10,2,3,,2,,5,2,,,,,,,,
40,6,scraped,industry,50,50,,,1,,,,,,,3,,1,,,,,,,,,,,,
40,6,scraped,control,35,65,,,,,,2,,,,,,,,,,,,,,,,,,
40,6,flailed,annuals,45,35,5,,2,,10,5,2,,,,,,,,,,,,,,,,,
40,6,flailed,perennials,30,30,,,,,,2,,,8,15,10,5,1,,3,1,,,,,,,,
40,6,flailed,industry,35,65,,,,,1,,,,,,,,,,,,,,,,,,,
40,6,flailed,control,30,70,,,,,,,,,1,1,3,,,,1,,,,,,,,,
40,6,unmanaged,annuals,40,40,20,,4,,8,3,2,,,,,,,,,,,,,,,,,
40,6,unmanaged,perennials,10,10,,,,,1,,,,10,80,10,5,,,2,,,,,,,,,geum flowering 0-50
40,6,unmanaged,megamix,15,25,5,,,,5,3,2,,,50,3,1,3,,,,,,,,3,,5,geum flowering 0-50
40,6,unmanaged,control,20,80,,,,,1,,,,5,10,,,1,,,,,,,,,,,
40,6,orchard,true control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,5,scraped,annuals,45,40,15,,3,,10,5,5,,,,,,,,,,,,,,,,,
40,5,scraped,perennials,40,35,,,,,,,,,20,2,5,3,3,,3,1,,,,,,,,
40,5,scraped,industry,60,35,5,,,,,,,,,,,,,,,,,,,,,,,
40,5,scraped,control,35,65,,,,,,,,,,,,,,,,,,,,,,,,
40,5,flailed,annuals,70,20,5,,1,,10,3,3,,,,,,,,,,,,,,,,,
40,5,flailed,perennials,55,30,,,,,2,,,,5,5,1,1,1,,1,,,,,,,,,
40,5,flailed,industry,50,50,,,,,1,1,,,,,2,,,,,,,,,,,,,
40,5,flailed,control,40,60,,,,,,,,,1,,1,1,,,1,,,,,,,,,
40,5,unmanaged,annuals,40,40,15,,,,1,2,5,,,,,,,,,,,,,,,,,
40,5,unmanaged,perennials,10,10,,,,,,,1,,15,65,15,8,,,1,,,,,,,,,geum flowering 0-50
40,5,unmanaged,megamix,15,25,,,,,,2,2,,10,40,,5,,,,,,,,,10,,20,geum flowering 0-50
40,5,unmanaged,control,40,45,,,,,,,,,5,5,,1,,,,,,,,,,,,
40,5,orchard,true control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,4,scraped,annuals,2,95,,,,,,,1,,,,,20,,,,,,,,,,,,pot mis seeded
40,4,scraped,perennials,2,60,,,,,,,1,,5,20,50,,2,,,,,,,,,,,
40,4,scraped,industry,5,95,,,,,,,,,,1,,1,,,,,,,,,,,,
40,4,scraped,control,5,95,,,,,1,,,,5,,,,1,,,,,,,,,,,
40,4,flailed,annuals,15,25,1,,10,,15,10,15,1,1,,,,,,,,,,,,,,,
40,4,flailed,perennials,5,80,,,,,1,,,,10,20,15,,1,,,,,,,,,,,geum flowering 0-50
40,4,flailed,industry,60,40,,,,,,,,,,,,,,,,,,,,,,,,
40,4,flailed,control,15,80,,,,,,,,,20,15,5,,,,,,,,,,,,,
40,4,unmanaged,annuals,15,80,2,,,,3,8,3,,,5,,,,,,,,,,,,,,
40,4,unmanaged,perennials,3,40,,,,,,,,,20,80,20,1,2,,,,,,,,,,,geum flowring 100-150
40,4,unmanaged,megamix,15,30,,,,,2,5,3,,5,45,15,2,,,,,,,,,2,3,,geum flowring 0-50
40,4,unmanaged,control,3,95,,,,,2,,,,15,5,,,,,,,,,,,,,,
40,4,orchard,true control,90,10,,,,,,,,,,,,,,,,,,,,,,,,
40,3,scraped,annuals,80,15,1,,,,1,4,4,,1,,,,1,,,,,,,,,,,
40,3,scraped,perennials,80,10,,,,,,,1,,3,2,2,1,1,,,,,,,,,,,
40,3,scraped,industry,50,50,,,,,,,,,,,,,,,,,,,,2,,,,
40,3,scraped,control,50,50,,,,,,,,,,1,1,,,,,,,,,1,,,,
40,3,flailed,annuals,85,15,,,2,,5,5,1,,,,,,,,,,,,,1,,,,
40,3,flailed,perennials,90,5,,,,,,1,,,5,2,,,1,,,,,,,,,,,
40,3,flailed,industry,90,10,,,,,1,,,,,,,,,,,,,,,,,,,
40,3,flailed,control,95,5,,,,,2,,,,,,,,,,,,,,,,,,,
40,3,unmanaged,annuals,85,5,,,,,5,5,3,,,,,,,,,,,,,,,,,
40,3,unmanaged,perennials,40,5,,,,,,1,,,2,55,3,1,1,,,,,,,,,,,geum flowering 150-200
40,3,unmanaged,megamix,50,5,,,1,,,1,,,1,45,1,2,1,,,,,,,,,,,geum flowering 0-50
40,3,unmanaged,control,50,40,,,,,,,,,5,10,2,1,,,,,,,,,,,,geum flowering 0-50
40,3,orchard,true control,90,10,,,,,,,,,,,,,,,,,,,,,,,,
40,2,scraped,annuals,97,3,1,,,,1,1,,,,,,,,,,,,,,,,,,scraped
40,2,scraped,perennials,93,5,,,,,,,,,2,1,45,1,,,,,,,,,,,,
40,2,scraped,industry,97,3,,,,,,,,,,,,,,,,,,,,1,,,,
40,2,scraped,control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,2,flailed,annuals,95,3,,,,,1,,2,,,,1,,,,,,,,,,,,,scraped
40,2,flailed,perennials,95,5,,,,,,,,,1,1,,1,,,,,,,,,,,,
40,2,flailed,industry,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,2,flailed,control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,2,unmanaged,annuals,95,1,2,,,,,1,2,1,,1,1,,,,,,,,,,,,,annuals rotten
40,2,unmanaged,perennials,95,3,,,,,,,,,2,1,,1,,,,,,,,,,,,
40,2,unmanaged,megamix,92,3,,,1,,,1,1,,,2,,,,,,,,,,,,,,
40,2,unmanaged,control,97,3,,,,,,,,,,,,,,,,,,,,,,,,
40,2,orchard,true control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,1,scraped,annuals,97,2,,,,,,,1,,,,,,,,,,,,,,,,,
40,1,scraped,perennials,97,1,,,,,,,,,1,,,1,,,,,,,,,,,,
40,1,scraped,industry,75,25,,,,,1,,,,,,,,,,,,,,,,,,,
40,1,scraped,control,75,25,,,,,,,,,,,,,,,,,,,,,,,,
40,1,flailed,annuals,80,20,1,,1,,5,2,2,1,,,,,,,,,,,,,,,,
40,1,flailed,perennials,75,25,,,1,,,1,,,,5,1,,,,,,,,,,,,,
40,1,flailed,industry,95,5,,,,,,,,,,,,,,,,,,,,,,,,
40,1,flailed,control,85,15,,,,,,1,,,,,,,,,,,,,,,,,,
40,1,unmanaged,annuals,85,15,,,,,5,,2,,,,,,,,,,,,,,,,,
40,1,unmanaged,perennials,97,2,,,,,,,,,1,1,,,,,,,,,,,,,,
40,1,unmanaged,megamix,75,10,,,,,2,,1,,1,15,,,,,,,,,,,,,,
40,1,unmanaged,control,70,30,,,,,,,,,1,1,,,,,,,,,,,,,,
40,1,orchard,true control,90,10,,,,,,,,,,,,,,,,,,,,,,,,
60,6,scraped,annuals,15,20,,,45,,30,2,5,1,,1,,,5,,,,,5,,,,,,
60,6,scraped,perennials,15,25,1,,5,,3,,,,10,40,,15,5,,,2,,10,,,,,,geum flowering 100-150
60,6,scraped,industry,5,85,,,10,,1,,,,,2,,,,,,,,,,3,,,,geum flowering 0-50
60,6,scraped,control,10,90,,,2,,,20,,,1,2,1,3,1,,,,,,,,,,,geum flowering 0-50
60,6,flailed,annuals,20,20,2,,50,1,10,5,6,,1,2,,1,,,,,,1,,,,,,
60,6,flailed,perennials,20,35,1,,20,,1,,,,5,25,5,10,,,1,2,,,,,,,,geum flowering 0-50
60,6,flailed,industry,50,50,,,7,,1,,,,,2,,,,,,,,,,,,,,
60,6,flailed,control,40,50,,,,,,,,,,,,,,,,,,,,,,,,
60,6,unmanaged,annuals,10,45,5,,5,,3,1,2,1,1,1,,2,,,,,,,,,,,,
60,6,unmanaged,perennials,10,20,,,2,,2,,,,5,65,5,5,2,,,1,,,,,,,,geum flowering 250-300
60,6,unmanaged,megamix,20,70,3,,3,,3,2,1,,3,25,,3,1,,,,,,,,,,,geum flowering 100-150
60,6,unmanaged,control,20,80,,,5,,3,,,,,2,,,,,,,,,,5,,,,
60,6,orchard,true control,85,15,,,,,,,,,,,,,,,,,,,,,,,,
60,5,scraped,annuals,25,65,1,5,10,,2,,3,1,,1,,,,,,,,,,,,,,
60,5,scraped,perennials,10,40,,,,,,,,,10,80,10,1,,,,,,,,,,,,geum flowering 300-350
60,5,scraped,industry,20,80,,,,,,,,,,2,,,,,,,,,,,,,,
60,5,scraped,control,5,95,,,,,,,,,,2,,,,,,,,,,,,,,
60,5,flailed,annuals,20,70,1,,30,5,20,1,4,,,10,,,,,,,5,2,,,,,,geum flowering 0-50
60,5,flailed,perennials,5,60,,,,,,,,,50,60,10,2,1,,,1,,,,,,,,geum flowering 250-300
60,5,flailed,industry,50,40,,,10,,3,,,,,2,,,,,,,,5,,,,,,
60,5,flailed,control,10,90,,,5,,2,,,,5,2,,,,,,,,,,,,,,
60,5,unmanaged,annuals,5,85,1,,3,1,,1,1,,,15,,,,,,,,,,,,,,plectritis flowering 1
60,5,unmanaged,perennials,5,90,,,,,,,,,1,60,1,1,,,,,,,,,,,,
60,5,unmanaged,megamix,5,80,,,2,,,,1,,1,20,,,,,,,,,,,,,,geum floweirng 100-150
60,5,unmanaged,control,2,92,,,1,,,,,,,,,,,,,,,,,,,,,
60,5,orchard,true control,20,80,,,,,,,,,,,,,,,,,,,,,,,,
60,4,scraped,annuals,10,70,,1,25,,15,,,,,,1,,,,,,5,5,,,,,,plectritis flowering 1
60,4,scraped,perennials,2,2,,,2,,1,1,,,10,85,10,2,,,,,1,3,,,,,,geum flowering 350-400
60,4,scraped,industry,2,60,,,,,,,,,,,,,,,,,5,15,3,10,,,,
60,4,scraped,control,10,90,,,2,,,,,,1,5,,,,,,,,,,,,,,geum flower 0-50
60,4,flailed,annuals,10,40,,,40,1,10,3,3,,,5,,,,,,,,,,,,,,geum flower 0-50
60,4,flailed,perennials,3,40,,,5,,2,,,,8,25,3,10,,,,2,,,,,,,,geum flower 100-150
60,4,flailed,industry,15,85,,,,,,,,,,,1,,,,,,,,,,,,,
60,4,flailed,control,5,95,,,,,,,,,,5,,,,,,,,,,,,,,geum flower 0-50
60,4,unmanaged,annuals,5,90,2,,5,1,2,1,2,,,10,2,,,,,,,,,,,,,geum flower 0-50
60,4,unmanaged,perennials,1,5,,,5,,,,,,2,90,2,5,,,,,,,,,,,,geum flower 400-450
60,4,unmanaged,megamix,5,85,2,,5,,1,,1,,5,20,4,2,,,,,,,,,,,,geum flower 100-150
60,4,unmanaged,control,5,90,1,,3,,,,,,,3,,,,,,,,,,,,,,geum flower 0-50
60,4,orchard,true control,90,10,,,,,,,,,,,,,,,,,,,,,,,,
60,3,scraped,annuals,5,50,,,30,3,5,1,2,,3,2,,,,,,,,,,,,,,
60,3,scraped,perennials,1,40,,,,,,,,,50,60,,2,2,,,1,,,,,,,,
60,3,scraped,industry,5,65,,,2,,1,,,,,10,,2,,,,,30,1,,10,,,,geum flowering 0-50
60,3,scraped,control,5,95,,,,,,,,,,5,,,,,,,,,,,,,,
60,3,flailed,annuals,1,85,2,,10,2,2,,,,,10,,,,,,,,,,,,,,
60,3,flailed,perennials,1,15,,,,,,,,,25,75,3,5,2,,,,,,,,,,,geum flowering 200-250
60,3,flailed,industry,5,80,,,10,,,,,,,,,,,,,,5,10,,30,,,,clover flowering 20
60,3,flailed,control,0,100,,,,,,,,,,,,,,,,,,,,,,,,
60,3,unmanaged,annuals,1,95,,,5,,,,,,,10,,,,,,,,,,,,,,
60,3,unmanaged,perennials,1,60,,,,,,,,,6,30,1,2,3,,,,,,,,,,,
60,3,unmanaged,megamix,1,95,annuals (0) perennials (40 F100),,,,,,,,,,,,,,,,,,,,,,,
60,3,unmanaged,control,0,100,,,,,,,,,,,,,,,,,,,,,,,,
60,3,orchard,true control,65,35,,,,,,,,,,,,,,,,,,,,,,,,
60,2,scraped,annuals,0,50,,,30,10,10,1,,,,,,,,,,,,30,,,,,,
60,2,scraped,perennials,0,5,,,40,5,10,,,,20,80,2,30,30,,,,,15,,,,,,
60,2,scraped,industry,10,20,,,5,,2,,,,1,1,,,,,,,,,,,,,,
60,2,scraped,control,1,70,,,2,,,,,,3,2,2,4,1,,,,25,10,,2,,,,geum flowernig 0-50
60,2,flailed,annuals,2,60,,,10,1,2,,1,,2,,,,,,,,30,15,,,,,,
60,2,flailed,perennials,0,70,,,,,,,,,10,80,,5,10,,,,,,,,,,,geum flowering 250-300
60,2,flailed,industry,20,80,,,10,,,,,,,,,1,,,,,15,20,,20,,,,
60,2,flailed,control,2,95,,,,,,,,,,2,,2,,,,,,15,,,,,,geum flowering 0-50
60,2,unmanaged,annuals,5,15,,,35,30,30,,2,,,2,,,,,,,,,,,,,,geum flowering 0-50
60,2,unmanaged,perennials,0,5,,,,1,,,,,40,65,2,5,20,,,,,,,,,,,geum flowering 350-400
60,2,unmanaged,megamix,10,15,,,20,30,30,,1,,3,15,,1,,,,,,,,,,,,geum flowering 50-100
60,2,unmanaged,control,5,40,,,20,5,,,,,15,15,,2,10,,,,,,,,,,,geum flowering 50-100
60,2,orchard,true control,98,2,,,,,,,,,,,,,,,,,,,,,,,,
60,1,scraped,annuals,40,40,1,,20,,3,1,4,1,,5,,,,,,,,5,,,,,,
60,1,scraped,perennials,3,20,,,2,,,,,,30,55,15,1,2,,,,,,,,,,,geumflowering 100-150
60,1,scraped,industry,55,30,,,4,,,,,,,2,1,,,,,,5,20,4,2,,,,
60,1,scraped,control,3,95,,,1,,,,,1,,1,5,,,,,,,1,,,,,,
60,1,flailed,annuals,40,15,8,,20,,10,2,3,2,1,2,,,,,,,,,,,,,,
60,1,flailed,perennials,40,20,1,,8,,,,,,4,15,1,4,,,2,1,,,,,,,,geum flowering 0-50
60,1,flailed,industry,60,35,,,4,,1,,2,,,10,1,,,,,,,,,3,,,,
60,1,flailed,control,10,80,,,1,,,1,,,,30,10,,1,,,,,,,,,,,
60,1,unmanaged,annuals,30,25,5,,25,1,15,1,2,,,1,1,,,,,,,,,,,,,
60,1,unmanaged,perennials,20,10,1,,5,,2,,,,20,30,14,4,14,,1,1,,,,,,,,geum flowering 150-200
60,1,unmanaged,megamix,5,10,5,,4,1,2,,1,,15,70,15,1,,,,,,,,,,,,geum flowering 200-250
60,1,unmanaged,control,15,70,,,3,,2,,1,,1,14,1,,,,,,,,,,,,,geum flowering 0-50
60,1,orchard,true control,95,5,,,,,,,,,,,,,,,,,,,,,,,,
