orchard_age,block,management,seedmix,bare,weeds,amsinckia,plectritis,collomia,clarkia,epilobium,gilia,sanguisorba,lotus,achillea,geum,prunella,potentilla,eriophyllum,agoseris,viola,lomatium,barley,oats,vetch,clover,all_annuals,all_perennials,notes
60,6,unmanaged,annuals,10,5,3,0,25,10,80,6,2,0,,,,,,,,,,,,,,,
60,6,unmanaged,perennials,10,45,,,,,,,,,30,50,6,25,15,0,2,2,,,,,,,
60,6,unmanaged,megamix,15,40,,,,,,,,,,,,,,,,,,,,,60,20,
60,6,unmanaged,control,5,95,,,,,,,,,,,,,,,,,,,,,,,
60,5,scraped,annuals,15,5,3,10,30,18,50,10,6,0,,,,,,,,,,,,,,,
60,5,scraped,perennials,,,,,,,,,,,70,55,20,5,35,0,1,3,,,,,,,
60,5,scraped,industry,8,80,,,,,,,,,,,,,,,,,5,45,5,3,,,
60,5,scraped,control,6,94,,,,,,,,,,,,,,,,,,,,,,,
60,5,flailed,annuals,3,5,5,15,60,30,50,6,2,2,,,,,,,,,,,,,,,
60,5,flailed,perennials,7,15,,,,,,,,,75,50,30,10,35,0,2,4,,,,,,,
60,5,flailed,industry,10,60,,,,,,,,,,,,,,,,,25,45,10,3,,,
60,5,flailed,control,6,94,,,,,,,,,,,,,,,,,,,,,,,
60,5,unmanaged,annuals,20,5,1,2,10,4,75,4,1,1,,,,,,,,,,,,,,,
60,5,unmanaged,perennials,8,65,,,,,,,,,10,30,8,10,10,0,0,1,,,,,,,
60,5,unmanaged,megamix,6,90,,,,,,,,,,,,,,,,,,,,,15,5,rotten annuals
60,5,unmanaged,control,3,97,,,,,,,,,,,,,,,,,,,,,,,
60,4,scraped,annuals,5,3,10,15,40,30,25,15,1,0,,,,,,,,,,,,,,,
60,4,scraped,perennials,4,8,,,,,,,,,70,40,15,5,18,0,0,3,,,,,,,
60,4,scraped,industry,10,30,,,,,,,,,,,,,,,,,45,25,10,5,,,
60,4,scraped,control,15,85,,,,,,,,,,,,,,,,,,,,,,,
60,4,flailed,annuals,10,5,5,3,40,20,70,7,2,0,,,,,,,,,,,,,,,
60,4,flailed,perennials,8,40,,,,,,,,,40,45,15,10,10,0,0,3,,,,,,,
60,4,flailed,industry,20,50,,,,,,,,,,,,,,,,,4,30,12,10,,,
60,4,flailed,control,15,85,,,,,,,,,,,,,,,,,,,,,,,
60,4,unmanaged,annuals,20,10,1,5,10,3,20,1,2,1,,,,,,,,,,,,,,,
60,4,unmanaged,perennials,10,75,,,,,,,,,10,40,10,2,4,0,0,1,,,,,,,
60,4,unmanaged,megamix,10,50,,,,,,,,,,,,,,,,,,,,,35,8,
60,4,unmanaged,control,10,90,,,,,,,,,,,,,,,,,,,,,,,
60,3,scraped,annuals,5,2,0,7,50,35,80,12,4,1,,,,,,,,,,,,,,,
60,3,scraped,perennials,10,15,,,,,,,,,60,50,10,4,20,0,2,3,,,,,,,
60,3,scraped,industry,15,55,,,,,,,,,,,,,,,,,5,15,15,5,,,
60,3,scraped,control,10,90,,,,,,,,,,,,,,,,,,,,,,,
60,3,flailed,annuals,8,3,2,12,60,25,70,5,5,1,,,,,,,,,,,,,,,
60,3,flailed,perennials,5,20,,,,,,,,,65,70,15,12,30,0,1,6,,,,,,,
60,3,flailed,industry,40,60,,,,,,,,,,,,,,,,,10,5,3,2,,,
60,3,flailed,control,25,75,,,,,,,,,,,,,,,,,,,,,,,
60,3,unmanaged,annuals,3,75,2,1,40,20,35,8,2,0,,,,,,,,,,,,,,,
60,3,unmanaged,perennials,1,90,,,,,,,,,5,15,2,3,6,0,0,0,,,,,,,
60,3,unmanaged,megamix,2,95,,,,,,,,,,,,,,,,,,,,,40,5,
60,3,unmanaged,control,0,100,,,,,,,,,,,,,,,,,,,,,,,
60,2,scraped,annuals,7,2,0,1,50,40,70,10,7,4,,,,,,,,,,,,,,,
60,2,scraped,perennials,15,10,,,,,,,,,60,70,15,35,45,0,2,15,,,,,,,
60,2,scraped,industry,40,20,,,,,,,,,,,,,,,,,30,30,15,3,,,
60,2,scraped,control,40,60,,,,,,,,,,,,,,,,,,,,,,,
60,2,flailed,annuals,12,2,,1,70,25,80,15,2,0,,,,,,,,,,,,,,,
60,2,flailed,perennials,10,25,,,,,,,,,10,75,3,15,25,0,0,3,,,,,,,
60,2,flailed,industry,25,70,,,,,,,,,,,,,,,,,8,18,10,3,,,
60,2,flailed,control,20,80,,,,,,,,,,,,,,,,,,,,,,,
60,2,unmanaged,annuals,8,2,0,1,80,60,80,15,7,2,,,,,,,,,,,,,,,
60,2,unmanaged,perennials,10,42,,,,,,,,,35,70,7,15,30,0,3,2,,,,,,,
60,2,unmanaged,megamix,15,,,,,,,,,,,,,,,,,,,,,,85,10,
60,2,unmanaged,control,30,70,,,,,,,,,,,,,,,,,,,,,,,
60,1,scraped,annuals,,1,3,5,40,30,80,15,5,5,,,,,,,,,,,,,,,
60,1,scraped,perennials,2,10,,,,,,,,,70,55,60,4,20,0,0,0,,,,,,,
60,1,scraped,industry,15,5,,,,,,,,,,,,,,,,,42,42,40,2,,,
60,1,scraped,control,30,70,,,,,,,,,,,,,,,,,,,,,,,
60,1,flailed,annuals,12,1,2,0,40,25,80,15,2,0,,,,,,,,,,,,,,,
60,1,flailed,perennials,45,4,,,,,,,,,40,50,30,7,15,0,3,2,,,,,,,
60,1,flailed,industry,10,2,,,,,,,,,,,,,,,,,40,35,30,2,,,
60,1,flailed,control,35,65,,,,,,,,,,,,,,,,,,,,,,,
60,1,unmanaged,annuals,5,1,35,8,35,55,65,3,0,0,,,,,,,,,,,,,,,
60,1,unmanaged,perennials,25,7,,,,,,,,,70,80,45,20,40,1,1,3,,,,,,,
60,1,unmanaged,megamix,10,5,,,,,,,,,,,,,,,,,,,,,90,10,
60,1,unmanaged,control,50,50,,,,,,,,,,,,,,,,,,,,,,,
